zip,ccr_available,ccr_year,ccr_system_name,ccr_pwsid,ccr_contaminant_count,ccr_violations,ccr_source_type,ccr_lead_90th_ppb,ccr_copper_90th_ppb,ccr_top_contaminants
10001,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10002,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10003,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10004,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10005,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10006,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10007,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10008,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10009,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10010,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10011,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10012,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10013,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10014,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10015,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10016,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10017,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10018,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10019,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10020,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10021,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10022,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10023,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10024,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10025,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10026,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10027,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10028,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10029,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10030,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10031,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10032,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10033,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10034,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10035,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10036,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10037,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10038,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10039,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10040,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10041,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10043,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10044,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10045,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10047,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10055,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10060,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10065,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10069,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10075,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10079,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10080,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10081,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10082,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10087,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10090,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10095,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10096,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10098,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10099,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10101,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10102,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10103,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10104,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10105,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10106,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10107,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10108,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10109,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10110,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10111,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10112,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10113,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10114,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10115,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10116,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10117,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10118,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10119,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10120,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10121,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10122,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10123,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10124,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10125,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
10126,True,2021,NEW YORK CITY SYSTEM,NY7003493,3,1,Surface Water and Ground Water,100,,Lead (100 ppb*)
