zip,lead_exposure_probability,lead_risk_label,maintenance_debt_usd,compliance_risk_score,compliance_risk_label,energy_burden_pct,energy_burden_label,flood_annual_cost_usd
10001,68,High,25000,30,Moderate,2.33,Low,4.2
10002,82,Very High,29050,30,Moderate,6.18,High,1.11
10003,85,Very High,29650,30,Moderate,1.87,Low,0.49
10004,73,Very High,28000,30,Moderate,1.3,Low,110.23
10005,80,Very High,28900,30,Moderate,1.36,Low,24.39
10006,85,Very High,31300,30,Moderate,1.37,Low,26.45
10007,58,High,975,30,Moderate,1.15,Low,11.85
10008,,,,30,Moderate,,,
10009,84,Very High,30400,30,Moderate,3.27,Moderate,8.82
10010,80,Very High,28690,30,Moderate,1.84,Low,7.17
10011,82,Very High,29200,30,Moderate,1.96,Low,8.41
10012,85,Very High,30850,30,Moderate,2.2,Low,0.21
10013,83,Very High,29950,30,Moderate,1.8,Low,20.02
10014,87,Very High,31150,30,Moderate,1.72,Low,19.37
10015,,,,30,Moderate,,,
10016,77,Very High,25510,30,Moderate,1.88,Low,6.84
10017,79,Very High,27700,30,Moderate,2.17,Low,1.1
10018,54,High,,30,Moderate,2.16,Low,0.57
10019,72,Very High,25900,30,Moderate,2.36,Low,0.66
10020,,,,30,Moderate,,,
10021,80,Very High,24502,30,Moderate,1.84,Low,1.12
10022,80,Very High,27550,30,Moderate,1.68,Low,0.37
10023,81,Very High,39600,30,Moderate,1.82,Low,0.04
10024,88,Very High,31600,30,Moderate,1.57,Low,0.16
10025,86,Very High,30700,30,Moderate,2.63,Low,0.25
10026,79,Very High,29050,30,Moderate,3.88,Moderate,
10027,83,Very High,30550,30,Moderate,4.48,Moderate,0.03
10028,82,Very High,28990,30,Moderate,1.71,Low,0.2
10029,78,Very High,24610,30,Moderate,7.51,High,1.31
10030,82,Very High,29500,30,Moderate,6.73,High,
10031,88,Very High,32200,30,Moderate,4.42,Moderate,0.03
10032,87,Very High,31750,30,Moderate,5.08,Moderate,0.05
10033,89,Very High,32500,30,Moderate,3.8,Moderate,0.15
10034,88,Very High,32350,30,Moderate,4.12,Moderate,0.48
10035,70,High,25600,30,Moderate,7.09,High,1.26
10036,67,High,,30,Moderate,2.87,Low,0.07
10037,79,Very High,27400,30,Moderate,5.61,Moderate,3.08
10038,76,Very High,25798,30,Moderate,2.5,Low,34.89
10039,80,Very High,23950,30,Moderate,5.89,Moderate,1.12
10040,87,Very High,31750,30,Moderate,4.49,Moderate,
10041,,,,30,Moderate,,,
10043,,,,30,Moderate,,,
10044,64,High,19750,30,Moderate,2.71,Low,0.1
10045,,,,30,Moderate,,,
10047,,,,30,Moderate,,,
10055,,,,30,Moderate,,,
10060,,,,30,Moderate,,,
10065,82,Very High,28450,30,Moderate,1.79,Low,0.01
10069,35,Moderate,,30,Moderate,1.27,Low,
10075,81,Very High,28000,30,Moderate,1.96,Low,0.51
10079,,,,30,Moderate,,,
10080,,,,30,Moderate,,,
10081,,,,30,Moderate,,,
10082,,,,30,Moderate,,,
10087,,,,30,Moderate,,,
10090,,,,30,Moderate,,,
10095,,,,30,Moderate,,,
10096,,,,30,Moderate,,,
10098,,,,30,Moderate,,,
10099,,,,30,Moderate,,,
10101,,,,30,Moderate,,,
10102,,,,30,Moderate,,,
10103,,,,30,Moderate,,,
10104,,,,30,Moderate,,,
10105,,,,30,Moderate,,,
10106,,,,30,Moderate,,,
10107,,,,30,Moderate,,,
10108,,,,30,Moderate,,,
10109,,,,30,Moderate,,,
10110,,,,30,Moderate,,,
10111,,,,30,Moderate,,,
10112,,,,30,Moderate,,,
10113,,,,30,Moderate,,,
10114,,,,30,Moderate,,,
10115,,,,30,Moderate,,,
10116,,,,30,Moderate,,,
10117,,,,30,Moderate,,,
10118,,,,30,Moderate,,,
10119,,,,30,Moderate,,,
10120,,,,30,Moderate,,,
10121,,,,30,Moderate,,,
10122,,,,30,Moderate,,,
10123,,,,30,Moderate,,,
10124,,,,30,Moderate,,,
10125,,,,30,Moderate,,,
10126,,,,30,Moderate,,,
10128,80,Very High,23950,30,Moderate,1.93,Low,1.58
10129,,,,30,Moderate,,,
10130,,,,30,Moderate,,,
10131,,,,30,Moderate,,,
10132,,,,30,Moderate,,,
10133,,,,30,Moderate,,,
10138,,,,30,Moderate,,,
10150,,,,30,Moderate,,,
10151,,,,30,Moderate,,,
10152,69,High,27400,30,Moderate,,,0.15
10153,,,,30,Moderate,,,
10154,,,,30,Moderate,,,
10155,,,,30,Moderate,,,
10156,,,,30,Moderate,,,
10157,,,,30,Moderate,,,
10158,,,,30,Moderate,,,
10159,,,,30,Moderate,,,
10160,,,,30,Moderate,,,
10161,,,,30,Moderate,,,
10162,79,Very High,19750,30,Moderate,2.61,Low,
10163,,,,30,Moderate,,,
10164,,,,30,Moderate,,,
10165,,,,30,Moderate,,,
10166,,,,30,Moderate,,,
10167,,,,30,Moderate,,,
10168,,,,30,Moderate,,,
10169,,,,30,Moderate,,,
10170,,,,30,Moderate,,,
10171,,,,30,Moderate,,,
